episode,total_episodes,model_type,epsilon,per_beta,global_step,training_updates,agents,learning_rate,gamma,avg_reward,avg_queue,throughput,avg_travel_time,episode_co2,co2_per_veh,updates,loss,policy_loss,value_loss,time_of_day,global_congestion
72,250,GAT-DQN,0.6645802352941177,0.5710843373493976,21600,300.0,9,0.001,0.99,-0.6836354333816508,13.669166666666667,500,59.3,92290783.50652277,184581.56701304554,300.0,0.4352646142989397,0.0,0.0,0.0,0.0
73,250,GAT-DQN,0.6599214117647059,0.5734939759036145,21900,300.0,9,0.001,0.99,-0.6432734664748123,12.518888888888888,487,51.42915811088296,86841917.9740994,178320.16011108705,300.0,0.4543300511191289,0.0,0.0,0.0,0.0
74,250,GAT-DQN,0.655262588235294,0.5759036144578313,22200,300.0,9,0.001,0.99,-0.6989126141799296,17.560277777777777,422,50.27725118483412,94353202.91429041,223585.78889642277,300.0,0.4602798524995645,0.0,0.0,0.0,0.0
75,250,GAT-DQN,0.6506037647058823,0.5783132530120482,22500,300.0,9,0.001,0.99,-0.7667514559965997,17.03731481481481,498,58.60843373493976,103511446.55954084,207854.31036052378,300.0,0.5707364011804262,0.0,0.0,0.0,0.0
76,250,GAT-DQN,0.6459449411764706,0.5807228915662651,22800,300.0,9,0.001,0.99,-0.7071885232938887,15.699722222222222,453,57.48344370860927,95470450.64467482,210751.54667698636,300.0,0.4852865647524595,0.0,0.0,0.0,0.0
77,250,GAT-DQN,0.6412861176470588,0.5831325301204819,23100,300.0,9,0.001,0.99,-0.7264513299257801,16.745,436,54.341743119266056,98070929.53998001,224933.32463298168,300.0,0.46258447438478467,0.0,0.0,0.0,0.0
78,250,GAT-DQN,0.6366272941176471,0.5855421686746989,23400,300.0,9,0.001,0.99,-0.7670560153426081,15.656944444444447,511,60.256360078277886,103552562.07125206,202646.8925073426,300.0,0.4308556904147069,0.0,0.0,0.0,0.0
79,250,GAT-DQN,0.6319684705882354,0.5879518072289157,23700,300.0,9,0.001,0.99,-0.7875250332248177,16.416944444444447,506,59.45652173913044,106315879.48535046,210110.43376551475,300.0,0.43794521518051627,0.0,0.0,0.0,0.0
80,250,GAT-DQN,0.6273096470588235,0.5903614457831325,24000,300.0,9,0.001,0.99,-0.7331773226800017,18.567500000000003,438,52.89269406392694,98978938.5618002,225979.31178493195,300.0,0.4327109180142482,0.0,0.0,0.0,0.0
81,250,GAT-DQN,0.6226508235294118,0.5927710843373494,24300,300.0,9,0.001,0.99,-0.7216393267858151,19.699907407407405,423,51.80378250591016,97421309.11608505,230310.42344228146,300.0,0.43079137610892454,0.0,0.0,0.0,0.0
82,250,GAT-DQN,0.617992,0.5951807228915663,24600,300.0,9,0.001,0.99,-0.6423296379922393,15.528148148148151,418,49.83732057416268,86714501.12895226,207450.95963864177,300.0,0.4956349872549375,0.0,0.0,0.0,0.0
83,250,GAT-DQN,0.6133331764705883,0.5975903614457831,24900,300.0,9,0.001,0.99,-0.7650348615564058,17.885,451,62.63414634146341,103279706.31011492,229001.56609781578,300.0,0.4922801960756381,0.0,0.0,0.0,0.0
84,250,GAT-DQN,0.6086743529411764,0.6,25200,300.0,9,0.001,0.99,-0.6748716452792707,14.229907407407408,470,55.61063829787234,91107672.11270134,193846.11087808796,300.0,0.44949739458660287,0.0,0.0,0.0,0.0
85,250,GAT-DQN,0.6040155294117647,0.6024096385542168,25500,300.0,9,0.001,0.99,-0.7230840084105395,17.436759259259258,469,58.217484008528785,97616341.13542274,208137.1879220101,300.0,0.4601495498418808,0.0,0.0,0.0,0.0
86,250,GAT-DQN,0.599356705882353,0.6048192771084338,25800,300.0,9,0.001,0.99,-0.808122327420789,19.100185185185182,451,54.27937915742794,109096514.20180641,241899.14457163285,300.0,0.44261669571201007,0.0,0.0,0.0,0.0
87,250,GAT-DQN,0.5946978823529412,0.6072289156626507,26100,300.0,9,0.001,0.99,-0.7401403010927838,16.30212962962963,458,51.96069868995633,99918940.64752573,218163.6258679601,300.0,0.4825960543255011,0.0,0.0,0.0,0.0
88,250,GAT-DQN,0.5900390588235294,0.6096385542168675,26400,300.0,9,0.001,0.99,-0.7353230726669184,16.61777777777778,463,53.64362850971922,99268614.8100339,214403.0557452136,300.0,0.4145643256107966,0.0,0.0,0.0,0.0
89,250,GAT-DQN,0.5853802352941176,0.6120481927710844,26700,300.0,9,0.001,0.99,-0.699716668911821,14.631296296296295,444,51.358108108108105,94461750.30309574,212751.68987183727,300.0,0.4701128616432349,0.0,0.0,0.0,0.0
90,250,GAT-DQN,0.5807214117647059,0.6144578313253012,27000,300.0,9,0.001,0.99,-0.6641939752301459,15.009351851851852,456,53.23684210526316,89666186.65606976,196636.37424576702,300.0,0.4252807165930669,0.0,0.0,0.0,0.0
91,250,GAT-DQN,0.5760625882352941,0.6168674698795181,27300,300.0,9,0.001,0.99,-0.7741821218479819,15.73388888888889,508,58.10826771653543,104514586.44947751,205737.37490054627,300.0,0.4522491782158613,0.0,0.0,0.0,0.0
92,250,GAT-DQN,0.5714037647058823,0.619277108433735,27600,300.0,9,0.001,0.99,-0.7675320160494892,17.161296296296296,472,54.125,103616822.16668075,219527.16560737448,300.0,0.4206404517591,0.0,0.0,0.0,0.0
93,250,GAT-DQN,0.5667449411764706,0.6216867469879518,27900,300.0,9,0.001,0.99,-0.7897147630039599,16.608240740740744,512,56.94140625,106611493.00553475,208225.57227643506,300.0,0.5092714473853509,0.0,0.0,0.0,0.0
94,250,GAT-DQN,0.5620861176470588,0.6240963855421686,28200,300.0,9,0.001,0.99,-0.7192205320327226,16.46712962962963,476,61.075630252100844,97094771.82441758,203980.61307650752,300.0,0.40756056924661,0.0,0.0,0.0,0.0
95,250,GAT-DQN,0.557427294117647,0.6265060240963856,28500,300.0,9,0.001,0.99,-0.7102079787373315,16.09296296296296,444,53.46621621621622,95878077.12953943,215941.61515662033,300.0,0.4719452391564846,0.0,0.0,0.0,0.0
96,250,GAT-DQN,0.5527684705882353,0.6289156626506025,28800,300.0,9,0.001,0.99,-0.674805080899401,15.105925925925925,482,53.19502074688797,91098685.92141917,189001.42307348378,300.0,0.5300307030479113,0.0,0.0,0.0,0.0
97,250,GAT-DQN,0.5481096470588236,0.6313253012048193,29100,300.0,9,0.001,0.99,-0.6754891371888869,15.317037037037037,479,59.91022964509395,91191033.52049974,190377.94054384078,300.0,0.48950997528930507,0.0,0.0,0.0,0.0
98,250,GAT-DQN,0.5434508235294118,0.6337349397590362,29400,300.0,9,0.001,0.99,-0.7114713193718484,15.593981481481482,468,56.39529914529915,96048628.11519966,205232.11135726422,300.0,0.46096887407203513,0.0,0.0,0.0,0.0
99,250,GAT-DQN,0.5387919999999999,0.636144578313253,29700,300.0,9,0.001,0.99,-0.6052490487431421,13.88212962962963,470,55.195744680851064,81708621.58032411,173848.1310219662,300.0,0.49410040557384494,0.0,0.0,0.0,0.0
100,250,GAT-DQN,0.5341331764705883,0.6385542168674698,30000,300.0,9,0.001,0.99,-0.767244108333556,18.42787037037037,448,57.933035714285715,103577954.62502989,231200.79157372745,300.0,0.4444836355000734,0.0,0.0,0.0,0.0
101,250,GAT-DQN,0.5294743529411765,0.6409638554216868,30300,300.0,9,0.001,0.99,-0.6837307486528897,14.693703703703704,482,55.78215767634855,92303651.06814015,191501.35076377625,300.0,0.46035691623886427,0.0,0.0,0.0,0.0
102,250,GAT-DQN,0.5248155294117647,0.6433734939759036,30600,300.0,9,0.001,0.99,-0.6976250666458882,15.209537037037034,482,58.76348547717842,94179383.99719511,195392.91285725127,300.0,0.39901726933817067,0.0,0.0,0.0,0.0
103,250,GAT-DQN,0.5201567058823529,0.6457831325301204,30900,300.0,9,0.001,0.99,-0.6768976172248254,14.049166666666666,459,51.63398692810458,91381178.32535146,199087.5344778899,300.0,0.4704314745714267,0.0,0.0,0.0,0.0
104,250,GAT-DQN,0.5154978823529413,0.6481927710843374,31200,300.0,9,0.001,0.99,-0.7504848741708315,20.1125,394,51.77157360406091,101315458.01306215,257145.8325204623,300.0,0.4932679614921411,0.0,0.0,0.0,0.0
105,250,GAT-DQN,0.5108390588235294,0.6506024096385542,31500,300.0,9,0.001,0.99,-0.6872629800492873,16.501666666666665,397,50.13853904282116,92780502.30665371,233704.0360369111,300.0,0.4875206142415603,0.0,0.0,0.0,0.0
106,250,GAT-DQN,0.5061802352941176,0.653012048192771,31800,300.0,9,0.001,0.99,-0.6751117490700491,15.151388888888887,461,55.55965292841648,91140086.12445652,197700.837580166,300.0,0.43582354242602983,0.0,0.0,0.0,0.0
107,250,GAT-DQN,0.5015214117647058,0.655421686746988,32100,300.0,9,0.001,0.99,-0.7705389514666884,17.55861111111111,494,67.41295546558705,104022758.44800265,210572.38552227258,300.0,0.4772788125524918,0.0,0.0,0.0,0.0
108,250,GAT-DQN,0.49686258823529417,0.6578313253012049,32400,300.0,9,0.001,0.99,-0.7508409697526979,19.14527777777778,370,48.09189189189189,101363530.91661407,273955.4889638218,300.0,0.4832954556494951,0.0,0.0,0.0,0.0
109,250,GAT-DQN,0.49220376470588234,0.6602409638554216,32700,300.0,9,0.001,0.99,-0.6254571582638839,13.607592592592594,474,56.62447257383966,84436716.36562417,178136.53241692865,300.0,0.4590947094808022,0.0,0.0,0.0,0.0
110,250,GAT-DQN,0.4875449411764706,0.6626506024096386,33000,300.0,9,0.001,0.99,-0.7475138189387859,17.66037037037037,445,56.52584269662921,100914365.55673613,226773.8551836767,300.0,0.535272416571776,0.0,0.0,0.0,0.0
